                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     740548 |     300595 |     300564 |     300507
  Cycles                             |     640794 |     640794 |     640794 |     640794
  IPC                                |       1.16 |       0.47 |       0.47 |       0.47
  Time (ns)                          |     240900 |     240900 |     240900 |     240900
  Idle time (ns)                     |      18485 |     153645 |     152428 |     153773
  Idle time (%)                      |       7.7% |      63.8% |      63.3% |      63.8%
Branch predictor stats               |            |            |            |           
  num correct                        |      42225 |       8736 |       8717 |       8727
  num incorrect                      |       1852 |        404 |        413 |        398
  misprediction rate                 |      4.20% |      4.42% |      4.52% |      4.36%
  mpki                               |       2.50 |       1.34 |       1.37 |       1.32
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      80765 |      23258 |      23215 |      23156
    num misses                       |         83 |         35 |         35 |         35
    miss rate                        |      0.10% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.11 |       0.12 |       0.12 |       0.12
  D-TLB                              |            |            |            |           
    num accesses                     |     342714 |     169155 |     169128 |     169111
    num misses                       |         71 |         35 |         35 |         35
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.10 |       0.12 |       0.12 |       0.12
  L2 TLB                             |            |            |            |           
    num accesses                     |        154 |         70 |         70 |         70
    num misses                       |        152 |         70 |         70 |         70
    miss rate                        |     98.70% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.21 |       0.23 |       0.23 |       0.23
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      80765 |      23258 |      23215 |      23156
    num cache misses                 |       1341 |        337 |        335 |        332
    miss rate                        |      1.66% |      1.45% |      1.44% |      1.43%
    mpki                             |       1.81 |       1.12 |       1.11 |       1.10
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     342714 |     169155 |     169128 |     169111
    num cache misses                 |       1676 |        660 |        646 |        653
    miss rate                        |      0.49% |      0.39% |      0.38% |      0.39%
    mpki                             |       2.26 |       2.20 |       2.15 |       2.17
  Cache L2                           |            |            |            |           
    num cache accesses               |       3216 |       1160 |       1141 |       1148
    num cache misses                 |       2563 |        872 |        856 |        865
    miss rate                        |     79.70% |     75.17% |     75.02% |     75.35%
    mpki                             |       3.46 |       2.90 |       2.85 |       2.88
  Cache L3                           |            |            |            |           
    num cache accesses               |       2778 |       1067 |       1048 |       1060
    num cache misses                 |       2560 |        872 |        856 |        865
    miss rate                        |     92.15% |     81.72% |     81.68% |     81.60%
    mpki                             |       3.46 |       2.90 |       2.85 |       2.88
DRAM summary                         |            |            |            |           
  num dram accesses                  |        929 |        912 |        893 |        919
  average dram access latency (ns)   |      56.85 |      56.65 |      56.56 |      56.47
  average dram queueing delay        |       3.42 |       3.22 |       3.13 |       3.04
  average dram bandwidth utilization |      3.00% |      3.00% |      3.00% |      3.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |        357 |        112 |        132 |        135
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |        137 |        306 |        275 |        279
